ox_code	p2_dtc_prediction	p2_rfc_prediction	p2_umap_0	p2_umap_1
AB0284-Cb	0	0	-4.553800106048584	14.437211036682129
AC0089-Ca	0	0	inf	inf
AC0089-Cb	0	0	inf	inf
AC0090-Ca	0	0	inf	inf
AC0090-Cb	0	0	inf	inf
AC0091-Ca	0	0	inf	inf
AC0091-Cb	0	0	inf	inf
AC0092-Ca	0	0	inf	inf
AC0092-Cb	0	0	inf	inf
AC0093-Ca	0	0	inf	inf
AC0093-Cb	0	0	inf	inf
AC0094-Ca	0	0	inf	inf
AC0094-Cb	0	0	inf	inf
AC0095-Ca	0	0	inf	inf
AC0095-Cb	0	0	inf	inf
AC0096-Ca	0	0	inf	inf
AC0096-Cb	0	0	inf	inf
AC0097-Ca	0	0	inf	inf
AC0097-Cb	0	0	inf	inf
AC0098-Ca	0	0	inf	inf
AC0098-Cb	0	0	inf	inf
AC0099-Ca	0	0	inf	inf
AC0099-Cb	0	0	inf	inf
AC0100-Ca	0	0	inf	inf
AC0100-Cb	0	0	inf	inf
AC0101-Ca	0	0	inf	inf
AC0101-Cb	0	0	inf	inf
AC0102-Ca	0	0	inf	inf
AC0102-Cb	0	0	inf	inf
AC0103-Ca	0	0	inf	inf
AC0103-Cb	0	0	inf	inf
AC0104-Ca	0	0	inf	inf
AC0104-Cb	0	0	inf	inf
AC0105-Ca	0	0	inf	inf
AC0105-Cb	0	0	inf	inf
AC0106-Ca	0	0	inf	inf
AC0106-Cb	0	0	inf	inf
AC0107-Ca	0	0	inf	inf
AC0107-Cb	0	0	inf	inf
AC0108-Ca	0	0	inf	inf
AC0108-Cb	0	0	inf	inf
AC0109-Ca	0	0	inf	inf
AC0109-Cb	0	0	inf	inf
AC0110-Ca	0	0	inf	inf
AC0110-Cb	0	0	inf	inf
AC0111-Ca	0	0	inf	inf
AC0111-Cb	0	0	inf	inf
AC0112-Ca	0	0	inf	inf
AC0112-Cb	0	0	inf	inf
AC0113-Ca	0	0	inf	inf
AC0113-Cb	0	0	inf	inf
AC0114-Ca	0	0	inf	inf
AC0114-Cb	0	0	inf	inf
AC0115-Ca	0	0	inf	inf
AC0115-Cb	0	0	inf	inf
AC0116-Ca	0	0	inf	inf
AC0116-Cb	0	0	inf	inf
AC0117-Ca	0	0	inf	inf
AC0117-Cb	0	0	inf	inf
AC0118-Ca	0	0	inf	inf
AC0118-Cb	0	0	inf	inf
AC0119-Ca	0	0	inf	inf
AC0119-Cb	0	0	inf	inf
AC0120-Ca	0	0	inf	inf
AC0120-Cb	0	0	inf	inf
AC0121-Ca	0	0	inf	inf
AC0121-Cb	0	0	inf	inf
AC0122-Ca	0	0	inf	inf
AC0122-Cb	0	0	inf	inf
AC0123-Ca	0	0	inf	inf
AC0123-Cb	0	0	inf	inf
AC0124-Ca	0	0	inf	inf
AC0124-Cb	0	0	inf	inf
AC0125-Ca	0	0	inf	inf
AC0125-Cb	0	0	inf	inf
AC0126-Ca	0	0	inf	inf
AC0126-Cb	0	0	inf	inf
AC0127-Ca	0	0	inf	inf
AC0127-Cb	0	0	inf	inf
AC0128-Ca	0	0	inf	inf
AC0128-Cb	0	0	inf	inf
AC0129-Ca	0	0	inf	inf
AC0129-Cb	0	0	inf	inf
AC0130-Ca	0	0	inf	inf
AC0130-Cb	0	0	inf	inf
AC0131-Ca	0	0	inf	inf
AC0131-Cb	0	0	inf	inf
AC0132-Ca	0	0	inf	inf
AC0132-Cb	0	0	inf	inf
AC0133-Ca	0	0	inf	inf
AC0133-Cb	0	0	inf	inf
AC0134-Ca	0	0	inf	inf
AC0134-Cb	0	0	inf	inf
AC0135-Ca	0	0	inf	inf
AC0135-Cb	0	0	inf	inf
AC0136-Ca	0	0	inf	inf
AC0136-Cb	0	0	inf	inf
AC0137-Ca	0	0	inf	inf
AC0137-Cb	0	0	inf	inf
AC0138-Ca	0	0	inf	inf
AC0138-Cb	0	0	inf	inf
AC0139-Ca	0	0	inf	inf
AC0139-Cb	0	0	inf	inf
AC0140-Ca	0	0	inf	inf
AC0140-Cb	0	0	inf	inf
AC0141-Ca	0	0	inf	inf
AC0141-Cb	0	0	inf	inf
AC0142-Ca	0	0	inf	inf
AC0142-Cb	0	0	inf	inf
AC0143-Ca	0	0	inf	inf
AC0143-Cb	0	0	inf	inf
AC0144-Ca	0	0	inf	inf
AC0144-Cb	0	0	inf	inf
AC0145-Ca	0	0	inf	inf
AC0145-Cb	0	0	inf	inf
AC0146-Ca	0	0	inf	inf
AC0146-Cb	0	0	inf	inf
AC0147-Ca	0	0	inf	inf
AC0147-Cb	0	0	inf	inf
AC0148-Ca	0	0	inf	inf
AC0148-Cb	0	0	inf	inf
AC0149-Ca	0	0	inf	inf
AC0149-Cb	0	0	inf	inf
AC0150-Ca	0	0	inf	inf
AC0150-Cb	0	0	inf	inf
AC0151-Ca	0	0	inf	inf
AC0151-Cb	0	0	inf	inf
AC0152-Ca	0	0	inf	inf
AC0152-Cb	0	0	inf	inf
AC0153-Ca	0	0	inf	inf
AC0153-Cb	0	0	inf	inf
AC0154-Ca	0	0	inf	inf
AC0154-Cb	0	0	inf	inf
AC0155-Ca	0	0	inf	inf
AC0155-Cb	0	0	inf	inf
AC0156-Ca	0	0	inf	inf
AC0156-Cb	0	0	inf	inf
AC0157-Ca	0	0	inf	inf
AC0157-Cb	0	0	inf	inf
AC0158-Ca	0	0	inf	inf
AC0158-Cb	0	0	inf	inf
AC0159-Ca	0	0	inf	inf
AC0159-Cb	0	0	inf	inf
AC0160-Ca	0	0	inf	inf
AC0160-Cb	0	0	inf	inf
AC0161-Ca	0	0	inf	inf
AC0161-Cb	0	0	inf	inf
AC0162-Ca	0	0	inf	inf
AC0162-Cb	0	0	inf	inf
AC0163-Ca	0	0	inf	inf
AC0163-Cb	0	0	inf	inf
AC0164-Ca	0	0	inf	inf
AC0164-Cb	0	0	inf	inf
AC0166-Ca	0	0	inf	inf
AC0166-Cb	0	0	inf	inf
AC0167-Ca	0	0	inf	inf
AC0167-Cb	0	0	inf	inf
AC0168-Ca	0	0	inf	inf
AC0168-Cb	0	0	inf	inf
AC0169-Ca	0	0	inf	inf
AC0169-Cb	0	0	inf	inf
AC0170-Ca	0	0	inf	inf
AC0170-Cb	0	0	inf	inf
AC0171-Ca	0	0	inf	inf
AC0171-Cb	0	0	inf	inf
AC0172-Ca	0	0	inf	inf
AC0172-Cb	0	0	inf	inf
AC0173-Ca	0	0	inf	inf
AC0173-Cb	0	0	inf	inf
AC0174-Ca	0	0	inf	inf
AC0174-Cb	0	0	inf	inf
AC0176-Ca	0	0	inf	inf
AC0176-Cb	0	0	inf	inf
AC0177-Ca	0	0	inf	inf
AC0177-Cb	0	0	inf	inf
AC0178-Ca	0	0	inf	inf
AC0178-Cb	0	0	inf	inf
AC0179-Ca	0	0	inf	inf
AC0179-Cb	0	0	inf	inf
AC0180-Ca	0	0	inf	inf
AC0180-Cb	0	0	inf	inf
AC0181-Ca	0	0	inf	inf
